,Unnamed: 0,이름,"장소(안암, 성여입, 혜화)",주소,위도,경도,전화번호,영업시간,가격대,category,categroy_detal,음주여부,대표메뉴,메뉴 5가지,데이트 컨셉
0,0,춘자,,서울 성북구 안암동5가 104-127,37.584357384572,127.030360300064,02-925-2810,,,,,,,,
1,1,제주고깃집,,서울 성북구 보문동1가 9-8,37.587891768299,127.018263915582,02-921-0505,,,,,,,,
2,2,황제곱창,,서울 서대문구 창천동 13-33,37.557378097661854,126.93776436738392,,,,,,,,,
3,3,황소식당,,서울 성북구 안암동5가 134-47,37.5825919302288,127.028380594816,02-922-7379,,,,,,,,
4,4,고품콩,,서울 성북구 안암동5가 104-271,37.5837700031535,127.030101928546,02-2605-7217,,,,,,,,
5,5,쿠이도라쿠,,서울 성북구 안암동5가 85-3,37.5849950452124,127.031288947227,02-929-9290,,,,,,,,
6,6,안암꼬치,,서울 성북구 안암동5가 104-20,37.58362944012649,127.03013357242885,,,,,,,,,
7,7,소담식당,,서울 서대문구 창천동 13-83,37.55740252107612,126.93794769267492,070-8152-1177,,,,,,,,
8,8,고대고기,,서울 성북구 안암동5가 101-119,37.5865018919991,127.029795069262,02-921-5567,,,,,,,,
9,9,본샤브칼국수,,서울 성북구 안암동5가 102-66,37.5854893209313,127.029214985308,02-922-6892,,,,,,,,
10,10,매스플레이트,,서울 성북구 안암동5가 101-27,37.5871290659236,127.02946471304,,,,,,,,,
11,11,오니,,서울 종로구 교남동 161,37.569226210174996,126.96369861948178,,,,,,,,,
12,12,안암고깃집,,서울 성북구 안암동5가 86-142,37.58547799662,127.031216689335,02-929-6900,,,,,,,,
13,13,정상호프,,서울 성북구 안암동5가 101-47,37.5864983642291,127.029491637319,02-921-4284,,,,,,,,
14,14,미소초밥,,서울 성북구 안암동5가 101-15,37.5872949373412,127.029106998306,02-766-3539,,,,,,,,
15,15,늘안암,,서울 성북구 안암동5가 103-108,37.5853737140086,127.030324482858,070-4799-1748,,,,,,,,
16,19,나그네파전,,서울 성북구 안암동5가 86-5,37.5859141996152,127.03075040729821,02-929-4838,,,,,,,,
17,22,마이셰프,,서울 종로구 혜화동 15-44,37.5882319544341,126.999855074587,02-743-5255,,,,,,,,
18,23,모이리타,,서울 성북구 안암동5가 102-69,37.5853523565413,127.029269276715,02-922-2292,,,,,,,,
19,26,미스터국밥,,서울 성북구 안암동5가 94-2,37.5861377022688,127.030533117217,02-928-9938,,,,,,,,
20,28,북경양꼬치,,서울 성북구 동선동1가 85-78,37.5923534847647,127.018248021501,02-926-3800,,,,,,,,
21,29,토로생선구이,,서울 성북구 안암동5가 86-131,37.5857088073816,127.030618988591,02-923-3539,,,,,,,,
22,31,사랑마라탕,,서울 성북구 안암동5가 101-66,37.5872841721804,127.028916781927,,,,,,,,,
23,32,야마토텐동,,서울 성북구 안암동5가 93-15,37.5860981378418,127.030225143356,02-6326-1055,,,,,,,,
24,33,만복식당,,서울 중구 회현동1가 71-6,37.55835701749426,126.98087069517493,02-777-9974,,,,,,,,
25,35,프로마치,,서울 성북구 안암동5가 103-149,37.585366547836,127.030161445117,070-4038-8537,,,,,,,,
26,36,정다래 함박스텍,,서울 성북구 안암동5가 136-18,37.5830748528551,127.028421535601,02-928-7558,,,,,,,,
27,37,석이네초밥집,,서울 성북구 안암동5가 91-3,37.5859898487274,127.030881773129,02-924-8923,,,,,,,,
28,38,모노,,서울 중구 을지로2가 9-7,37.56610964954736,126.9839395436377,02-753-3579,,,,,,,,
29,39,산적,,서울 중구 충무로3가 30-13,37.5630939878878,126.992815020959,02-2267-0955,,,,,,,,
30,40,언니네반점,,서울 성북구 안암동5가 14-2,37.5882498039853,127.029850113031,02-953-7878,,,,,,,,
31,41,오샬,,서울 성북구 안암동5가 146-5,37.5859722542434,127.029210645265,02-6084-6527,,,,,,,,
32,43,치폴레옹,,서울 성북구 안암동5가 103-101,37.5842386478482,127.029594905417,02-6339-8869,,,,,,,,
33,45,고래돈까스,,서울 동대문구 제기동 137-46,37.5883600990759,127.035044836056,02-953-6592,,,,,,,,
34,46,우승식당,,서울 성북구 안암동5가 134-43,37.5825233758887,127.028706626062,070-4151-4150,,,,,,,,
